id,burst time,inital burst time,arrival time,priority,wait time,turnaround time,id,Start,Finish
1,0,5,1,342,0,5,1,1,6
2,0,2,1,338,17,19,2,18,20
3,0,10,18,428,5,15,3,23,33
4,0,3,2,465,4,7,4,6,9
5,0,2,10,377,1,3,5,11,13
6,0,3,9,376,6,9,6,15,18
7,0,3,19,435,1,4,7,20,23
8,0,6,28,276,5,11,8,33,39
9,0,2,11,382,2,4,9,13,15
10,0,2,9,406,0,2,10,9,11
